CookerStat, GenerateAssetRegistry=0.023492, Initialize=0.123482, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47E2F4314E65E9652F7164AF4BB65170__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.680266, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D726E36B437EEBBE36FC72A5B09E257F__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.781162, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD585225455BAEEAD7991588B1BCCCDF__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=8997, Duration=3.732789, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B0302E34EB24A6D2EFDEE84DE55BF7E__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=1.653463, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_236268EF4B32A8D3325B37A5FA80B5E6__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=428, Duration=3.928252, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CF62F9404A4BA85548AA5F99C600DF56__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=559, Duration=2.173293, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4BDF639246D32DB6E110D68AF6139BED__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=366, Duration=1.556784, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90A1CA7E4AFEC3A9F37B8E9E5FD5441C__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=516, Duration=2.138358, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5AB612D45F2615A5B5C1DA14EB33BD7__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=378, Duration=1.512811, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_05927D1041FB477C1508188B579AD6B1__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=390, Duration=1.717914, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
