CookerStat, GenerateAssetRegistry=0.024632, Initialize=0.123434, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D83E9B3042B3596A98ABBB9047751A2E__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.572806, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30D4E61E4D7764225F03DD8A838DAF40__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=3.608082, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B4D7C2A4A4C2A99CF796E9BC776CC3B__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=3.096081, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B46782F841979EFAA80A2B9828CAEADA__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=2.151508, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B6FA0B5A4707233AE5970A859BDD3AEC__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=428, Duration=1.950856, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_973667CC40F6AACA603C1EAF297CCEA6__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=397, Duration=1.336735, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D1122F2044189E0FC1C29FB5DEAD46AC__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.601316, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8DB2E80947651F24D23DAC886E2EF0E1__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.573086, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ADE27CBB4ACFC318C9626A9964CBB1BA__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=516, Duration=1.972169, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3AD502D43F2A824B25E93A9B26A70DB__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=378, Duration=1.533508, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B1A48764F571CAEACC763A2E8ED353A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=390, Duration=1.828253, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A37F92A418395E13E756FB4CD9945D2__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=1.374096, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A2C610A4BE776B754D207861CF1D47D__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=4.031796, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DCADDAE44CE98C7206CE89D7767069E__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=1.339227, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F376CA3440C04C17E255FBCCA21A594__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.773458, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C58491E144CB390FEA1D068C418BD98A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.436368, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_422B181849E8C81726C5A8A8A14C7C1B__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=328, Duration=3.053181, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_509CD5D44377ECF90DA0158E9CF7192F__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.246788, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8ABE964A460763960EA2A9AB70A129CF__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=473, Duration=1.914881, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36F92913432A449FB212EFA0B48D4040__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=3.608078, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_113F23544E04A0E64A8DCF9B08AE4B35__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.639508, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B96F7FDC4D77EE750225AB8C4248B18E__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=1.781758, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_27997BDE415A693035DF898D3DACC27D__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.679361, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D42CABEC4918802C80B456BEA9885A5F__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=870, Duration=4.052549, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB4893CE492DAAC18D30FDA07B84B155__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=359, Duration=1.797259, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB808BD64BF3509D3954B3ACE1893680__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=459, Duration=3.870442, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4631BA6D449E113A05ECE2995EA31F26__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=1.679361, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D8E0307941283D7A9E25108454EF8A43__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=673, Duration=3.016096, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B05FD05D4C4FDD80FC1CB58F0E2CE0DF__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=459, Duration=1.573361, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90A4D9BE4C946D1862BA6AA5585C1AD5__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=478, Duration=4.700992, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
