CookerStat, GenerateAssetRegistry=0.022139, Initialize=0.122603, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD960B3949AD8FD25E386EA67C098455__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.839604, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_69E0B9CA45034A79FEB983BEBE2A1D2E__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.578346, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_78A65D264E5865A14C1304AC951D27F1__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=870, Duration=1.669675, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_24D267AF4E38A3DE64F5C9B63034F7C1__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=359, Duration=1.472067, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E73C9754485905AE515CFBB839A8294__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=459, Duration=4.585583, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F09783824719E402AACE4DA53F99DA03__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.376037, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_381A8C8B406CB6F807A0D582C93781E0__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=673, Duration=1.902699, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB4FB3CD4C51449BAD8721884BD74275__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=459, Duration=1.637295, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F79D4CB44AA2A8A1597253B97F9F9A50__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=478, Duration=1.815800, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3635E4D42CE4899BA69BC9C3CAB9D92__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.770690, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
