CookerStat, GenerateAssetRegistry=0.024907, Initialize=0.119559, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B4A7AD449E17E615C9E3CA566857834__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=11455, Duration=4.497301, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BEC173DE4E1B1B6B43FEE79D1C81907F__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=385, Duration=3.508169, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_31989F194F246EC552293C9127D4247F__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=492, Duration=3.543042, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F215D6F74833DDC346CCADAFCA7ADDC9__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=14478, Duration=4.024044, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3D8CB7B446AE2AF1F102D18837D04CA0__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=706, Duration=3.156412, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_223DF2764C01E81DCA8683BC79C0C7E7__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=1285, Duration=3.254384, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D25223A74E14CBDC9DC68E8B991EB565__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=2006, Duration=32.551868, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B35873E44E7A24BB6199739A9DA35E41__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=1547, Duration=3.525331, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_779DBF3D4BE6E5047C4294BF361923B5__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=404, Duration=3.156967, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FB1A3A4F441F8C74BF7C189521904384__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=461, Duration=3.405217, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
