CookerStat, GenerateAssetRegistry=0.023246, Initialize=0.118174, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD6E208A4EA8A8E604F2518FADAF13C4__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.020525, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_52A13C4746A27B7D51C08DA9A30E7DAD__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.352355, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D7FF962408FC46BA11FDEAD574983F8__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.411181, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B3B4C24E484030543E850D855FF42039__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=3.949873, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D84998E34C53FB00A92B72B979616CDA__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=428, Duration=1.748826, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80466D3A441471BAC4FB97A9AC7938C6__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=397, Duration=3.202353, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C80F9FE1410B5E89697E0094A9ADF5E7__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.669951, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3FA0A5EE4B1749E3E1B52F9D6492CADC__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.632590, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_20D3BA7B4F72797C6CD44EA18C2AF029__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=516, Duration=3.541380, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A8F27BA04C98086D125C18B7634697ED__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=378, Duration=1.550667, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4924EBD64B7317D716A6388C1E94013F__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=390, Duration=1.389597, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B44B4BEA4A6EA06E4A060F9CE6368CCE__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=3.332704, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C01699B4E37FC88B80C039996B777EE__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=1.597993, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_22E5B46E4F09581E9FEFD68DB8E00F87__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=1.576960, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1C55188F465EE8139CDCC996C9041C31__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.327172, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_24560E5F4048E6BDEC15AE92E89DFACB__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.392208, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5167F57B46495AF52664079C3095C7D2__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=328, Duration=1.749933, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFAEA6924B045090A6EDD08DC0E524C0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.931332, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
